"","Date","SettlementPoint","Price"
"1","2016-01-01 00:00:00","HB_BUSAVG",18.42
"15","2016-01-01 01:00:00","HB_BUSAVG",16.15
"29","2016-01-01 02:00:00","HB_BUSAVG",15.61
"43","2016-01-01 03:00:00","HB_BUSAVG",15.62
"57","2016-01-01 04:00:00","HB_BUSAVG",15.94
"71","2016-01-01 05:00:00","HB_BUSAVG",16.69
"85","2016-01-01 06:00:00","HB_BUSAVG",18.96
"99","2016-01-01 07:00:00","HB_BUSAVG",19.18
"113","2016-01-01 08:00:00","HB_BUSAVG",19.09
"127","2016-01-01 09:00:00","HB_BUSAVG",19.66
"141","2016-01-01 10:00:00","HB_BUSAVG",20.6
"155","2016-01-01 11:00:00","HB_BUSAVG",20.61
"169","2016-01-01 12:00:00","HB_BUSAVG",20.31
"183","2016-01-01 13:00:00","HB_BUSAVG",20.07
"197","2016-01-01 14:00:00","HB_BUSAVG",19.09
"211","2016-01-01 15:00:00","HB_BUSAVG",19.34
"225","2016-01-01 16:00:00","HB_BUSAVG",20.07
"239","2016-01-01 17:00:00","HB_BUSAVG",24.96
"253","2016-01-01 18:00:00","HB_BUSAVG",26.26
"267","2016-01-01 19:00:00","HB_BUSAVG",23.24
"281","2016-01-01 20:00:00","HB_BUSAVG",22.79
"295","2016-01-01 21:00:00","HB_BUSAVG",21.36
"309","2016-01-01 22:00:00","HB_BUSAVG",20.31
"323","2016-01-01 23:00:00","HB_BUSAVG",19.65
"337","2016-01-02 00:00:00","HB_BUSAVG",18.99
"351","2016-01-02 01:00:00","HB_BUSAVG",17.94
"365","2016-01-02 02:00:00","HB_BUSAVG",17.16
"379","2016-01-02 03:00:00","HB_BUSAVG",17
"393","2016-01-02 04:00:00","HB_BUSAVG",17.9
"407","2016-01-02 05:00:00","HB_BUSAVG",17.65
"421","2016-01-02 06:00:00","HB_BUSAVG",20.11
"435","2016-01-02 07:00:00","HB_BUSAVG",21.33
"449","2016-01-02 08:00:00","HB_BUSAVG",23.41
"463","2016-01-02 09:00:00","HB_BUSAVG",24.87
"477","2016-01-02 10:00:00","HB_BUSAVG",23.4
"491","2016-01-02 11:00:00","HB_BUSAVG",21.84
"505","2016-01-02 12:00:00","HB_BUSAVG",20.78
"519","2016-01-02 13:00:00","HB_BUSAVG",19.68
"533","2016-01-02 14:00:00","HB_BUSAVG",18.29
"547","2016-01-02 15:00:00","HB_BUSAVG",17.94
"561","2016-01-02 16:00:00","HB_BUSAVG",19.34
"575","2016-01-02 17:00:00","HB_BUSAVG",23.48
"589","2016-01-02 18:00:00","HB_BUSAVG",23.48
"603","2016-01-02 19:00:00","HB_BUSAVG",21.73
"617","2016-01-02 20:00:00","HB_BUSAVG",20.73
"631","2016-01-02 21:00:00","HB_BUSAVG",19.97
"645","2016-01-02 22:00:00","HB_BUSAVG",19.87
"659","2016-01-02 23:00:00","HB_BUSAVG",18.43
"673","2016-01-03 00:00:00","HB_BUSAVG",17.44
"687","2016-01-03 01:00:00","HB_BUSAVG",16.46
"701","2016-01-03 02:00:00","HB_BUSAVG",16.18
"715","2016-01-03 03:00:00","HB_BUSAVG",16.35
"729","2016-01-03 04:00:00","HB_BUSAVG",17.01
"743","2016-01-03 05:00:00","HB_BUSAVG",17.7
"757","2016-01-03 06:00:00","HB_BUSAVG",19.28
"771","2016-01-03 07:00:00","HB_BUSAVG",20.03
"785","2016-01-03 08:00:00","HB_BUSAVG",20.17
"799","2016-01-03 09:00:00","HB_BUSAVG",20.22
"813","2016-01-03 10:00:00","HB_BUSAVG",19.85
"827","2016-01-03 11:00:00","HB_BUSAVG",18.66
"841","2016-01-03 12:00:00","HB_BUSAVG",17.14
"855","2016-01-03 13:00:00","HB_BUSAVG",16.33
"869","2016-01-03 14:00:00","HB_BUSAVG",16.04
"883","2016-01-03 15:00:00","HB_BUSAVG",15.97
"897","2016-01-03 16:00:00","HB_BUSAVG",16.98
"911","2016-01-03 17:00:00","HB_BUSAVG",21.26
"925","2016-01-03 18:00:00","HB_BUSAVG",21.87
"939","2016-01-03 19:00:00","HB_BUSAVG",20.88
"953","2016-01-03 20:00:00","HB_BUSAVG",20.25
"967","2016-01-03 21:00:00","HB_BUSAVG",19.69
"981","2016-01-03 22:00:00","HB_BUSAVG",18.78
"995","2016-01-03 23:00:00","HB_BUSAVG",18.14
"1009","2016-01-04 00:00:00","HB_BUSAVG",17.01
"1023","2016-01-04 01:00:00","HB_BUSAVG",17.07
"1037","2016-01-04 02:00:00","HB_BUSAVG",17.47
"1051","2016-01-04 03:00:00","HB_BUSAVG",18
"1065","2016-01-04 04:00:00","HB_BUSAVG",19.34
"1079","2016-01-04 05:00:00","HB_BUSAVG",21.79
"1093","2016-01-04 06:00:00","HB_BUSAVG",53.72
"1107","2016-01-04 07:00:00","HB_BUSAVG",35.84
"1121","2016-01-04 08:00:00","HB_BUSAVG",24.43
"1135","2016-01-04 09:00:00","HB_BUSAVG",23.83
"1149","2016-01-04 10:00:00","HB_BUSAVG",21.87
"1163","2016-01-04 11:00:00","HB_BUSAVG",20.28
"1177","2016-01-04 12:00:00","HB_BUSAVG",19.03
"1191","2016-01-04 13:00:00","HB_BUSAVG",17.5
"1205","2016-01-04 14:00:00","HB_BUSAVG",16.44
"1219","2016-01-04 15:00:00","HB_BUSAVG",16.52
"1233","2016-01-04 16:00:00","HB_BUSAVG",17.43
"1247","2016-01-04 17:00:00","HB_BUSAVG",23
"1261","2016-01-04 18:00:00","HB_BUSAVG",27.38
"1275","2016-01-04 19:00:00","HB_BUSAVG",22.92
"1289","2016-01-04 20:00:00","HB_BUSAVG",22.65
"1303","2016-01-04 21:00:00","HB_BUSAVG",21.53
"1317","2016-01-04 22:00:00","HB_BUSAVG",20.39
"1331","2016-01-04 23:00:00","HB_BUSAVG",18.72
"1345","2016-01-05 00:00:00","HB_BUSAVG",15.89
"1359","2016-01-05 01:00:00","HB_BUSAVG",15.88
"1373","2016-01-05 02:00:00","HB_BUSAVG",15.99
"1387","2016-01-05 03:00:00","HB_BUSAVG",16.5
"1401","2016-01-05 04:00:00","HB_BUSAVG",18
"1415","2016-01-05 05:00:00","HB_BUSAVG",21.19
"1429","2016-01-05 06:00:00","HB_BUSAVG",48.84
"1443","2016-01-05 07:00:00","HB_BUSAVG",29.84
"1457","2016-01-05 08:00:00","HB_BUSAVG",22.98
"1471","2016-01-05 09:00:00","HB_BUSAVG",22.67
"1485","2016-01-05 10:00:00","HB_BUSAVG",21.49
"1499","2016-01-05 11:00:00","HB_BUSAVG",20.61
"1513","2016-01-05 12:00:00","HB_BUSAVG",19.74
"1527","2016-01-05 13:00:00","HB_BUSAVG",19.08
"1541","2016-01-05 14:00:00","HB_BUSAVG",18.01
"1555","2016-01-05 15:00:00","HB_BUSAVG",17.63
"1569","2016-01-05 16:00:00","HB_BUSAVG",18.48
"1583","2016-01-05 17:00:00","HB_BUSAVG",22.64
"1597","2016-01-05 18:00:00","HB_BUSAVG",22.71
"1611","2016-01-05 19:00:00","HB_BUSAVG",21.93
"1625","2016-01-05 20:00:00","HB_BUSAVG",21
"1639","2016-01-05 21:00:00","HB_BUSAVG",19.64
"1653","2016-01-05 22:00:00","HB_BUSAVG",18.61
"1667","2016-01-05 23:00:00","HB_BUSAVG",17.11
"1681","2016-01-06 00:00:00","HB_BUSAVG",12.6
"1695","2016-01-06 01:00:00","HB_BUSAVG",10.69
"1709","2016-01-06 02:00:00","HB_BUSAVG",10.28
