"","Date","SettlementPoint","Price"
"3","2016-01-01 00:00:00","HB_HUBAVG",18.42
"17","2016-01-01 01:00:00","HB_HUBAVG",16.14
"31","2016-01-01 02:00:00","HB_HUBAVG",15.6
"45","2016-01-01 03:00:00","HB_HUBAVG",15.61
"59","2016-01-01 04:00:00","HB_HUBAVG",15.94
"73","2016-01-01 05:00:00","HB_HUBAVG",16.68
"87","2016-01-01 06:00:00","HB_HUBAVG",18.96
"101","2016-01-01 07:00:00","HB_HUBAVG",19.18
"115","2016-01-01 08:00:00","HB_HUBAVG",19.08
"129","2016-01-01 09:00:00","HB_HUBAVG",19.66
"143","2016-01-01 10:00:00","HB_HUBAVG",20.59
"157","2016-01-01 11:00:00","HB_HUBAVG",20.6
"171","2016-01-01 12:00:00","HB_HUBAVG",20.3
"185","2016-01-01 13:00:00","HB_HUBAVG",20.07
"199","2016-01-01 14:00:00","HB_HUBAVG",19.09
"213","2016-01-01 15:00:00","HB_HUBAVG",19.34
"227","2016-01-01 16:00:00","HB_HUBAVG",20.07
"241","2016-01-01 17:00:00","HB_HUBAVG",24.95
"255","2016-01-01 18:00:00","HB_HUBAVG",26.25
"269","2016-01-01 19:00:00","HB_HUBAVG",23.24
"283","2016-01-01 20:00:00","HB_HUBAVG",22.79
"297","2016-01-01 21:00:00","HB_HUBAVG",21.36
"311","2016-01-01 22:00:00","HB_HUBAVG",20.31
"325","2016-01-01 23:00:00","HB_HUBAVG",19.65
"339","2016-01-02 00:00:00","HB_HUBAVG",18.99
"353","2016-01-02 01:00:00","HB_HUBAVG",17.94
"367","2016-01-02 02:00:00","HB_HUBAVG",17.15
"381","2016-01-02 03:00:00","HB_HUBAVG",16.99
"395","2016-01-02 04:00:00","HB_HUBAVG",17.89
"409","2016-01-02 05:00:00","HB_HUBAVG",17.64
"423","2016-01-02 06:00:00","HB_HUBAVG",20.11
"437","2016-01-02 07:00:00","HB_HUBAVG",21.33
"451","2016-01-02 08:00:00","HB_HUBAVG",23.4
"465","2016-01-02 09:00:00","HB_HUBAVG",24.86
"479","2016-01-02 10:00:00","HB_HUBAVG",23.39
"493","2016-01-02 11:00:00","HB_HUBAVG",21.84
"507","2016-01-02 12:00:00","HB_HUBAVG",20.78
"521","2016-01-02 13:00:00","HB_HUBAVG",19.68
"535","2016-01-02 14:00:00","HB_HUBAVG",18.29
"549","2016-01-02 15:00:00","HB_HUBAVG",17.94
"563","2016-01-02 16:00:00","HB_HUBAVG",19.34
"577","2016-01-02 17:00:00","HB_HUBAVG",23.47
"591","2016-01-02 18:00:00","HB_HUBAVG",23.47
"605","2016-01-02 19:00:00","HB_HUBAVG",21.72
"619","2016-01-02 20:00:00","HB_HUBAVG",20.73
"633","2016-01-02 21:00:00","HB_HUBAVG",19.97
"647","2016-01-02 22:00:00","HB_HUBAVG",19.87
"661","2016-01-02 23:00:00","HB_HUBAVG",18.42
"675","2016-01-03 00:00:00","HB_HUBAVG",17.44
"689","2016-01-03 01:00:00","HB_HUBAVG",16.46
"703","2016-01-03 02:00:00","HB_HUBAVG",16.18
"717","2016-01-03 03:00:00","HB_HUBAVG",16.35
"731","2016-01-03 04:00:00","HB_HUBAVG",17.01
"745","2016-01-03 05:00:00","HB_HUBAVG",17.7
"759","2016-01-03 06:00:00","HB_HUBAVG",19.28
"773","2016-01-03 07:00:00","HB_HUBAVG",20.04
"787","2016-01-03 08:00:00","HB_HUBAVG",20.17
"801","2016-01-03 09:00:00","HB_HUBAVG",20.22
"815","2016-01-03 10:00:00","HB_HUBAVG",19.85
"829","2016-01-03 11:00:00","HB_HUBAVG",18.66
"843","2016-01-03 12:00:00","HB_HUBAVG",17.14
"857","2016-01-03 13:00:00","HB_HUBAVG",16.33
"871","2016-01-03 14:00:00","HB_HUBAVG",16.04
"885","2016-01-03 15:00:00","HB_HUBAVG",15.97
"899","2016-01-03 16:00:00","HB_HUBAVG",16.98
"913","2016-01-03 17:00:00","HB_HUBAVG",21.26
"927","2016-01-03 18:00:00","HB_HUBAVG",21.87
"941","2016-01-03 19:00:00","HB_HUBAVG",20.88
"955","2016-01-03 20:00:00","HB_HUBAVG",20.25
"969","2016-01-03 21:00:00","HB_HUBAVG",19.69
"983","2016-01-03 22:00:00","HB_HUBAVG",18.78
"997","2016-01-03 23:00:00","HB_HUBAVG",18.14
"1011","2016-01-04 00:00:00","HB_HUBAVG",17.01
"1025","2016-01-04 01:00:00","HB_HUBAVG",17.07
"1039","2016-01-04 02:00:00","HB_HUBAVG",17.47
"1053","2016-01-04 03:00:00","HB_HUBAVG",18
"1067","2016-01-04 04:00:00","HB_HUBAVG",19.34
"1081","2016-01-04 05:00:00","HB_HUBAVG",21.78
"1095","2016-01-04 06:00:00","HB_HUBAVG",53.69
"1109","2016-01-04 07:00:00","HB_HUBAVG",35.84
"1123","2016-01-04 08:00:00","HB_HUBAVG",24.4
"1137","2016-01-04 09:00:00","HB_HUBAVG",23.82
"1151","2016-01-04 10:00:00","HB_HUBAVG",21.89
"1165","2016-01-04 11:00:00","HB_HUBAVG",20.3
"1179","2016-01-04 12:00:00","HB_HUBAVG",19.04
"1193","2016-01-04 13:00:00","HB_HUBAVG",17.51
"1207","2016-01-04 14:00:00","HB_HUBAVG",16.44
"1221","2016-01-04 15:00:00","HB_HUBAVG",16.52
"1235","2016-01-04 16:00:00","HB_HUBAVG",17.43
"1249","2016-01-04 17:00:00","HB_HUBAVG",23
"1263","2016-01-04 18:00:00","HB_HUBAVG",27.38
"1277","2016-01-04 19:00:00","HB_HUBAVG",22.92
"1291","2016-01-04 20:00:00","HB_HUBAVG",22.65
"1305","2016-01-04 21:00:00","HB_HUBAVG",21.52
"1319","2016-01-04 22:00:00","HB_HUBAVG",20.39
"1333","2016-01-04 23:00:00","HB_HUBAVG",18.72
"1347","2016-01-05 00:00:00","HB_HUBAVG",15.89
"1361","2016-01-05 01:00:00","HB_HUBAVG",15.88
"1375","2016-01-05 02:00:00","HB_HUBAVG",15.99
"1389","2016-01-05 03:00:00","HB_HUBAVG",16.51
"1403","2016-01-05 04:00:00","HB_HUBAVG",18
"1417","2016-01-05 05:00:00","HB_HUBAVG",21.19
"1431","2016-01-05 06:00:00","HB_HUBAVG",48.8
"1445","2016-01-05 07:00:00","HB_HUBAVG",29.81
"1459","2016-01-05 08:00:00","HB_HUBAVG",22.98
"1473","2016-01-05 09:00:00","HB_HUBAVG",22.67
"1487","2016-01-05 10:00:00","HB_HUBAVG",21.5
"1501","2016-01-05 11:00:00","HB_HUBAVG",20.61
"1515","2016-01-05 12:00:00","HB_HUBAVG",19.75
"1529","2016-01-05 13:00:00","HB_HUBAVG",19.08
