"","Date","SettlementPoint","Price"
"400125","2019-04-06 00:00:00","HB_PAN",15.51
"400140","2019-04-06 01:00:00","HB_PAN",16.57
"400155","2019-04-06 02:00:00","HB_PAN",15.51
"400170","2019-04-06 03:00:00","HB_PAN",14.91
"400185","2019-04-06 04:00:00","HB_PAN",17.75
"400200","2019-04-06 05:00:00","HB_PAN",20.11
"400215","2019-04-06 06:00:00","HB_PAN",18.6
"400230","2019-04-06 07:00:00","HB_PAN",18.24
"400245","2019-04-06 08:00:00","HB_PAN",20.06
"400260","2019-04-06 09:00:00","HB_PAN",21.88
"400275","2019-04-06 10:00:00","HB_PAN",23.42
"400290","2019-04-06 11:00:00","HB_PAN",22.96
"400305","2019-04-06 12:00:00","HB_PAN",20.77
"400320","2019-04-06 13:00:00","HB_PAN",20
"400335","2019-04-06 14:00:00","HB_PAN",22.41
"400350","2019-04-06 15:00:00","HB_PAN",22.9
"400365","2019-04-06 16:00:00","HB_PAN",27.06
"400380","2019-04-06 17:00:00","HB_PAN",27.28
"400395","2019-04-06 18:00:00","HB_PAN",27.13
"400410","2019-04-06 19:00:00","HB_PAN",27.39
"400425","2019-04-06 20:00:00","HB_PAN",27.03
"400440","2019-04-06 21:00:00","HB_PAN",18.24
"400455","2019-04-06 22:00:00","HB_PAN",18.55
"400470","2019-04-06 23:00:00","HB_PAN",17.41
"400485","2019-04-07 00:00:00","HB_PAN",18.52
"400500","2019-04-07 01:00:00","HB_PAN",17.15
"400515","2019-04-07 02:00:00","HB_PAN",16.73
"400530","2019-04-07 03:00:00","HB_PAN",16.13
"400545","2019-04-07 04:00:00","HB_PAN",16.68
"400560","2019-04-07 05:00:00","HB_PAN",17.92
"400575","2019-04-07 06:00:00","HB_PAN",17.31
"400590","2019-04-07 07:00:00","HB_PAN",18.91
"400605","2019-04-07 08:00:00","HB_PAN",20.37
"400620","2019-04-07 09:00:00","HB_PAN",20.54
"400635","2019-04-07 10:00:00","HB_PAN",21.29
"400650","2019-04-07 11:00:00","HB_PAN",20.66
"400665","2019-04-07 12:00:00","HB_PAN",19.38
"400680","2019-04-07 13:00:00","HB_PAN",20.27
"400695","2019-04-07 14:00:00","HB_PAN",24.14
"400710","2019-04-07 15:00:00","HB_PAN",24.89
"400725","2019-04-07 16:00:00","HB_PAN",28.1
"400740","2019-04-07 17:00:00","HB_PAN",30.87
"400755","2019-04-07 18:00:00","HB_PAN",30.61
"400770","2019-04-07 19:00:00","HB_PAN",37.1
"400785","2019-04-07 20:00:00","HB_PAN",43.14
"400800","2019-04-07 21:00:00","HB_PAN",27.53
"400815","2019-04-07 22:00:00","HB_PAN",27.33
"400830","2019-04-07 23:00:00","HB_PAN",21.37
"400845","2019-04-08 00:00:00","HB_PAN",18.99
"400860","2019-04-08 01:00:00","HB_PAN",17.98
"400875","2019-04-08 02:00:00","HB_PAN",17.42
"400890","2019-04-08 03:00:00","HB_PAN",17.58
"400905","2019-04-08 04:00:00","HB_PAN",18.65
"400920","2019-04-08 05:00:00","HB_PAN",21.71
"400935","2019-04-08 06:00:00","HB_PAN",26.19
"400950","2019-04-08 07:00:00","HB_PAN",20.53
"400965","2019-04-08 08:00:00","HB_PAN",22.7
"400980","2019-04-08 09:00:00","HB_PAN",25.84
"400995","2019-04-08 10:00:00","HB_PAN",27.23
"401010","2019-04-08 11:00:00","HB_PAN",31.05
"401025","2019-04-08 12:00:00","HB_PAN",32.61
"401040","2019-04-08 13:00:00","HB_PAN",37.7
"401055","2019-04-08 14:00:00","HB_PAN",47.14
"401070","2019-04-08 15:00:00","HB_PAN",74.65
"401085","2019-04-08 16:00:00","HB_PAN",94.59
"401100","2019-04-08 17:00:00","HB_PAN",81.54
"401115","2019-04-08 18:00:00","HB_PAN",48.48
"401130","2019-04-08 19:00:00","HB_PAN",49.52
"401145","2019-04-08 20:00:00","HB_PAN",43.94
"401160","2019-04-08 21:00:00","HB_PAN",32.95
"401175","2019-04-08 22:00:00","HB_PAN",27.15
"401190","2019-04-08 23:00:00","HB_PAN",21.3
"401205","2019-04-09 00:00:00","HB_PAN",20.01
"401220","2019-04-09 01:00:00","HB_PAN",18.04
"401235","2019-04-09 02:00:00","HB_PAN",16.5
"401250","2019-04-09 03:00:00","HB_PAN",15.99
"401265","2019-04-09 04:00:00","HB_PAN",16.59
"401280","2019-04-09 05:00:00","HB_PAN",19.01
"401295","2019-04-09 06:00:00","HB_PAN",21.09
"401310","2019-04-09 07:00:00","HB_PAN",20.97
"401325","2019-04-09 08:00:00","HB_PAN",21.07
"401340","2019-04-09 09:00:00","HB_PAN",24.91
"401355","2019-04-09 10:00:00","HB_PAN",28.55
"401370","2019-04-09 11:00:00","HB_PAN",29.75
"401385","2019-04-09 12:00:00","HB_PAN",31.4
"401400","2019-04-09 13:00:00","HB_PAN",38.49
"401415","2019-04-09 14:00:00","HB_PAN",46.36
"401430","2019-04-09 15:00:00","HB_PAN",89.53
"401445","2019-04-09 16:00:00","HB_PAN",99.64
"401460","2019-04-09 17:00:00","HB_PAN",97.66
"401475","2019-04-09 18:00:00","HB_PAN",32.58
"401490","2019-04-09 19:00:00","HB_PAN",25.28
"401505","2019-04-09 20:00:00","HB_PAN",8.56
"401520","2019-04-09 21:00:00","HB_PAN",2.01
"401535","2019-04-09 22:00:00","HB_PAN",1.63
"401550","2019-04-09 23:00:00","HB_PAN",-1.26
"401565","2019-04-10 00:00:00","HB_PAN",-1.47
"401580","2019-04-10 01:00:00","HB_PAN",-1.56
"401595","2019-04-10 02:00:00","HB_PAN",-1.77
"401610","2019-04-10 03:00:00","HB_PAN",-1.57
"401625","2019-04-10 04:00:00","HB_PAN",-0.34
"401640","2019-04-10 05:00:00","HB_PAN",0.85
"401655","2019-04-10 06:00:00","HB_PAN",5.92
"401670","2019-04-10 07:00:00","HB_PAN",6.17
"401685","2019-04-10 08:00:00","HB_PAN",6.84
"401700","2019-04-10 09:00:00","HB_PAN",7.01
"401715","2019-04-10 10:00:00","HB_PAN",4.53
"401730","2019-04-10 11:00:00","HB_PAN",4.4
"401745","2019-04-10 12:00:00","HB_PAN",3.21
"401760","2019-04-10 13:00:00","HB_PAN",9.95
"401775","2019-04-10 14:00:00","HB_PAN",2.98
"401790","2019-04-10 15:00:00","HB_PAN",18
"401805","2019-04-10 16:00:00","HB_PAN",37.32
"401820","2019-04-10 17:00:00","HB_PAN",29.82
"401835","2019-04-10 18:00:00","HB_PAN",20.1
"401850","2019-04-10 19:00:00","HB_PAN",15.52
