"","Date","SettlementPoint","Price"
"5","2016-01-01 00:00:00","HB_SOUTH",18.38
"19","2016-01-01 01:00:00","HB_SOUTH",16.09
"33","2016-01-01 02:00:00","HB_SOUTH",15.53
"47","2016-01-01 03:00:00","HB_SOUTH",15.53
"61","2016-01-01 04:00:00","HB_SOUTH",15.86
"75","2016-01-01 05:00:00","HB_SOUTH",16.55
"89","2016-01-01 06:00:00","HB_SOUTH",18.91
"103","2016-01-01 07:00:00","HB_SOUTH",19.13
"117","2016-01-01 08:00:00","HB_SOUTH",19.02
"131","2016-01-01 09:00:00","HB_SOUTH",19.57
"145","2016-01-01 10:00:00","HB_SOUTH",20.51
"159","2016-01-01 11:00:00","HB_SOUTH",20.51
"173","2016-01-01 12:00:00","HB_SOUTH",20.25
"187","2016-01-01 13:00:00","HB_SOUTH",20.04
"201","2016-01-01 14:00:00","HB_SOUTH",19.06
"215","2016-01-01 15:00:00","HB_SOUTH",19.3
"229","2016-01-01 16:00:00","HB_SOUTH",20.04
"243","2016-01-01 17:00:00","HB_SOUTH",24.82
"257","2016-01-01 18:00:00","HB_SOUTH",26.12
"271","2016-01-01 19:00:00","HB_SOUTH",23.13
"285","2016-01-01 20:00:00","HB_SOUTH",22.7
"299","2016-01-01 21:00:00","HB_SOUTH",21.29
"313","2016-01-01 22:00:00","HB_SOUTH",20.24
"327","2016-01-01 23:00:00","HB_SOUTH",19.59
"341","2016-01-02 00:00:00","HB_SOUTH",18.95
"355","2016-01-02 01:00:00","HB_SOUTH",17.92
"369","2016-01-02 02:00:00","HB_SOUTH",17.11
"383","2016-01-02 03:00:00","HB_SOUTH",16.95
"397","2016-01-02 04:00:00","HB_SOUTH",17.86
"411","2016-01-02 05:00:00","HB_SOUTH",17.6
"425","2016-01-02 06:00:00","HB_SOUTH",20.08
"439","2016-01-02 07:00:00","HB_SOUTH",21.24
"453","2016-01-02 08:00:00","HB_SOUTH",23.19
"467","2016-01-02 09:00:00","HB_SOUTH",24.59
"481","2016-01-02 10:00:00","HB_SOUTH",23.19
"495","2016-01-02 11:00:00","HB_SOUTH",21.75
"509","2016-01-02 12:00:00","HB_SOUTH",20.74
"523","2016-01-02 13:00:00","HB_SOUTH",19.65
"537","2016-01-02 14:00:00","HB_SOUTH",18.27
"551","2016-01-02 15:00:00","HB_SOUTH",17.91
"565","2016-01-02 16:00:00","HB_SOUTH",19.31
"579","2016-01-02 17:00:00","HB_SOUTH",23.31
"593","2016-01-02 18:00:00","HB_SOUTH",23.35
"607","2016-01-02 19:00:00","HB_SOUTH",21.64
"621","2016-01-02 20:00:00","HB_SOUTH",20.69
"635","2016-01-02 21:00:00","HB_SOUTH",19.96
"649","2016-01-02 22:00:00","HB_SOUTH",19.85
"663","2016-01-02 23:00:00","HB_SOUTH",18.4
