"","Date","SettlementPoint","Price"
"7","2016-01-01 00:00:00","LZ_AEN",18.44
"21","2016-01-01 01:00:00","LZ_AEN",16.17
"35","2016-01-01 02:00:00","LZ_AEN",15.65
"49","2016-01-01 03:00:00","LZ_AEN",15.66
"63","2016-01-01 04:00:00","LZ_AEN",15.98
"77","2016-01-01 05:00:00","LZ_AEN",16.75
"91","2016-01-01 06:00:00","LZ_AEN",18.99
"105","2016-01-01 07:00:00","LZ_AEN",19.2
"119","2016-01-01 08:00:00","LZ_AEN",19.11
"133","2016-01-01 09:00:00","LZ_AEN",19.7
"147","2016-01-01 10:00:00","LZ_AEN",20.64
"161","2016-01-01 11:00:00","LZ_AEN",20.65
"175","2016-01-01 12:00:00","LZ_AEN",20.33
"189","2016-01-01 13:00:00","LZ_AEN",20.08
"203","2016-01-01 14:00:00","LZ_AEN",19.1
"217","2016-01-01 15:00:00","LZ_AEN",19.36
"231","2016-01-01 16:00:00","LZ_AEN",20.08
"245","2016-01-01 17:00:00","LZ_AEN",25.03
"259","2016-01-01 18:00:00","LZ_AEN",26.32
"273","2016-01-01 19:00:00","LZ_AEN",23.31
"287","2016-01-01 20:00:00","LZ_AEN",22.84
"301","2016-01-01 21:00:00","LZ_AEN",21.39
"315","2016-01-01 22:00:00","LZ_AEN",20.33
"329","2016-01-01 23:00:00","LZ_AEN",19.68
"343","2016-01-02 00:00:00","LZ_AEN",19.01
"357","2016-01-02 01:00:00","LZ_AEN",17.95
"371","2016-01-02 02:00:00","LZ_AEN",17.17
"385","2016-01-02 03:00:00","LZ_AEN",17.01
"399","2016-01-02 04:00:00","LZ_AEN",17.91
"413","2016-01-02 05:00:00","LZ_AEN",17.66
"427","2016-01-02 06:00:00","LZ_AEN",20.13
"441","2016-01-02 07:00:00","LZ_AEN",21.38
"455","2016-01-02 08:00:00","LZ_AEN",23.52
"469","2016-01-02 09:00:00","LZ_AEN",25.02
"483","2016-01-02 10:00:00","LZ_AEN",23.51
"497","2016-01-02 11:00:00","LZ_AEN",21.89
"511","2016-01-02 12:00:00","LZ_AEN",20.81
"525","2016-01-02 13:00:00","LZ_AEN",19.68
"539","2016-01-02 14:00:00","LZ_AEN",18.3
"553","2016-01-02 15:00:00","LZ_AEN",17.96
"567","2016-01-02 16:00:00","LZ_AEN",19.36
"581","2016-01-02 17:00:00","LZ_AEN",23.57
"595","2016-01-02 18:00:00","LZ_AEN",23.54
"609","2016-01-02 19:00:00","LZ_AEN",21.78
"623","2016-01-02 20:00:00","LZ_AEN",20.75
"637","2016-01-02 21:00:00","LZ_AEN",19.98
"651","2016-01-02 22:00:00","LZ_AEN",19.88
