"","Date","SettlementPoint","Price"
"8","2016-01-01 00:00:00","LZ_CPS",18.45
"22","2016-01-01 01:00:00","LZ_CPS",16.19
"36","2016-01-01 02:00:00","LZ_CPS",15.67
"50","2016-01-01 03:00:00","LZ_CPS",15.69
"64","2016-01-01 04:00:00","LZ_CPS",16
"78","2016-01-01 05:00:00","LZ_CPS",16.79
"92","2016-01-01 06:00:00","LZ_CPS",19
"106","2016-01-01 07:00:00","LZ_CPS",19.21
"120","2016-01-01 08:00:00","LZ_CPS",19.12
"134","2016-01-01 09:00:00","LZ_CPS",19.73
"148","2016-01-01 10:00:00","LZ_CPS",20.66
"162","2016-01-01 11:00:00","LZ_CPS",20.68
"176","2016-01-01 12:00:00","LZ_CPS",20.35
"190","2016-01-01 13:00:00","LZ_CPS",20.09
"204","2016-01-01 14:00:00","LZ_CPS",19.11
"218","2016-01-01 15:00:00","LZ_CPS",19.37
"232","2016-01-01 16:00:00","LZ_CPS",20.09
"246","2016-01-01 17:00:00","LZ_CPS",25.1
"260","2016-01-01 18:00:00","LZ_CPS",26.37
"274","2016-01-01 19:00:00","LZ_CPS",23.36
"288","2016-01-01 20:00:00","LZ_CPS",22.88
"302","2016-01-01 21:00:00","LZ_CPS",21.42
"316","2016-01-01 22:00:00","LZ_CPS",20.34
"330","2016-01-01 23:00:00","LZ_CPS",19.69
"344","2016-01-02 00:00:00","LZ_CPS",19.01
"358","2016-01-02 01:00:00","LZ_CPS",17.96
"372","2016-01-02 02:00:00","LZ_CPS",17.18
"386","2016-01-02 03:00:00","LZ_CPS",17.02
"400","2016-01-02 04:00:00","LZ_CPS",17.92
"414","2016-01-02 05:00:00","LZ_CPS",17.66
"428","2016-01-02 06:00:00","LZ_CPS",20.13
"442","2016-01-02 07:00:00","LZ_CPS",21.42
"456","2016-01-02 08:00:00","LZ_CPS",23.58
"470","2016-01-02 09:00:00","LZ_CPS",25.12
"484","2016-01-02 10:00:00","LZ_CPS",23.58
"498","2016-01-02 11:00:00","LZ_CPS",21.92
"512","2016-01-02 12:00:00","LZ_CPS",20.82
"526","2016-01-02 13:00:00","LZ_CPS",19.69
"540","2016-01-02 14:00:00","LZ_CPS",18.3
"554","2016-01-02 15:00:00","LZ_CPS",17.97
"568","2016-01-02 16:00:00","LZ_CPS",19.37
"582","2016-01-02 17:00:00","LZ_CPS",23.62
"596","2016-01-02 18:00:00","LZ_CPS",23.59
"610","2016-01-02 19:00:00","LZ_CPS",21.81
"624","2016-01-02 20:00:00","LZ_CPS",20.76
"638","2016-01-02 21:00:00","LZ_CPS",19.98
"652","2016-01-02 22:00:00","LZ_CPS",19.88
"666","2016-01-02 23:00:00","LZ_CPS",18.44
"680","2016-01-03 00:00:00","LZ_CPS",17.45
"694","2016-01-03 01:00:00","LZ_CPS",16.46
"708","2016-01-03 02:00:00","LZ_CPS",16.19
"722","2016-01-03 03:00:00","LZ_CPS",16.36
"736","2016-01-03 04:00:00","LZ_CPS",17.02
"750","2016-01-03 05:00:00","LZ_CPS",17.71
"764","2016-01-03 06:00:00","LZ_CPS",19.28
"778","2016-01-03 07:00:00","LZ_CPS",20.03
"792","2016-01-03 08:00:00","LZ_CPS",20.17
"806","2016-01-03 09:00:00","LZ_CPS",20.22
"820","2016-01-03 10:00:00","LZ_CPS",19.85
"834","2016-01-03 11:00:00","LZ_CPS",18.66
"848","2016-01-03 12:00:00","LZ_CPS",17.14
"862","2016-01-03 13:00:00","LZ_CPS",16.33
"876","2016-01-03 14:00:00","LZ_CPS",16.04
"890","2016-01-03 15:00:00","LZ_CPS",15.97
"904","2016-01-03 16:00:00","LZ_CPS",16.98
"918","2016-01-03 17:00:00","LZ_CPS",21.28
