"","Date","SettlementPoint","Price"
"9","2016-01-01 00:00:00","LZ_HOUSTON",18.42
"23","2016-01-01 01:00:00","LZ_HOUSTON",16.14
"37","2016-01-01 02:00:00","LZ_HOUSTON",15.61
"51","2016-01-01 03:00:00","LZ_HOUSTON",15.62
"65","2016-01-01 04:00:00","LZ_HOUSTON",15.94
"79","2016-01-01 05:00:00","LZ_HOUSTON",16.69
"93","2016-01-01 06:00:00","LZ_HOUSTON",18.96
"107","2016-01-01 07:00:00","LZ_HOUSTON",19.18
"121","2016-01-01 08:00:00","LZ_HOUSTON",19.08
"135","2016-01-01 09:00:00","LZ_HOUSTON",19.66
"149","2016-01-01 10:00:00","LZ_HOUSTON",20.6
"163","2016-01-01 11:00:00","LZ_HOUSTON",20.6
"177","2016-01-01 12:00:00","LZ_HOUSTON",20.3
"191","2016-01-01 13:00:00","LZ_HOUSTON",20.07
"205","2016-01-01 14:00:00","LZ_HOUSTON",19.09
"219","2016-01-01 15:00:00","LZ_HOUSTON",19.34
"233","2016-01-01 16:00:00","LZ_HOUSTON",20.07
"247","2016-01-01 17:00:00","LZ_HOUSTON",24.94
"261","2016-01-01 18:00:00","LZ_HOUSTON",26.26
"275","2016-01-01 19:00:00","LZ_HOUSTON",23.24
"289","2016-01-01 20:00:00","LZ_HOUSTON",22.79
"303","2016-01-01 21:00:00","LZ_HOUSTON",21.36
"317","2016-01-01 22:00:00","LZ_HOUSTON",20.32
"331","2016-01-01 23:00:00","LZ_HOUSTON",19.66
"345","2016-01-02 00:00:00","LZ_HOUSTON",18.99
"359","2016-01-02 01:00:00","LZ_HOUSTON",17.94
"373","2016-01-02 02:00:00","LZ_HOUSTON",17.16
"387","2016-01-02 03:00:00","LZ_HOUSTON",17
"401","2016-01-02 04:00:00","LZ_HOUSTON",17.9
"415","2016-01-02 05:00:00","LZ_HOUSTON",17.65
"429","2016-01-02 06:00:00","LZ_HOUSTON",20.12
"443","2016-01-02 07:00:00","LZ_HOUSTON",21.34
"457","2016-01-02 08:00:00","LZ_HOUSTON",23.42
"471","2016-01-02 09:00:00","LZ_HOUSTON",24.87
"485","2016-01-02 10:00:00","LZ_HOUSTON",23.4
"499","2016-01-02 11:00:00","LZ_HOUSTON",21.84
"513","2016-01-02 12:00:00","LZ_HOUSTON",20.79
"527","2016-01-02 13:00:00","LZ_HOUSTON",19.68
