"","Date","SettlementPoint","Price"
"11","2016-01-01 00:00:00","LZ_NORTH",18.43
"25","2016-01-01 01:00:00","LZ_NORTH",16.17
"39","2016-01-01 02:00:00","LZ_NORTH",15.64
"53","2016-01-01 03:00:00","LZ_NORTH",15.65
"67","2016-01-01 04:00:00","LZ_NORTH",15.97
"81","2016-01-01 05:00:00","LZ_NORTH",16.74
"95","2016-01-01 06:00:00","LZ_NORTH",18.98
"109","2016-01-01 07:00:00","LZ_NORTH",19.19
"123","2016-01-01 08:00:00","LZ_NORTH",19.1
"137","2016-01-01 09:00:00","LZ_NORTH",19.69
"151","2016-01-01 10:00:00","LZ_NORTH",20.63
"165","2016-01-01 11:00:00","LZ_NORTH",20.64
"179","2016-01-01 12:00:00","LZ_NORTH",20.32
"193","2016-01-01 13:00:00","LZ_NORTH",20.08
"207","2016-01-01 14:00:00","LZ_NORTH",19.1
"221","2016-01-01 15:00:00","LZ_NORTH",19.35
"235","2016-01-01 16:00:00","LZ_NORTH",20.07
"249","2016-01-01 17:00:00","LZ_NORTH",25
"263","2016-01-01 18:00:00","LZ_NORTH",26.3
"277","2016-01-01 19:00:00","LZ_NORTH",23.29
"291","2016-01-01 20:00:00","LZ_NORTH",22.83
"305","2016-01-01 21:00:00","LZ_NORTH",21.38
"319","2016-01-01 22:00:00","LZ_NORTH",20.33
"333","2016-01-01 23:00:00","LZ_NORTH",19.67
"347","2016-01-02 00:00:00","LZ_NORTH",19
"361","2016-01-02 01:00:00","LZ_NORTH",17.95
"375","2016-01-02 02:00:00","LZ_NORTH",17.17
"389","2016-01-02 03:00:00","LZ_NORTH",17.01
"403","2016-01-02 04:00:00","LZ_NORTH",17.91
"417","2016-01-02 05:00:00","LZ_NORTH",17.66
"431","2016-01-02 06:00:00","LZ_NORTH",20.12
"445","2016-01-02 07:00:00","LZ_NORTH",21.37
"459","2016-01-02 08:00:00","LZ_NORTH",23.48
"473","2016-01-02 09:00:00","LZ_NORTH",24.97
"487","2016-01-02 10:00:00","LZ_NORTH",23.47
"501","2016-01-02 11:00:00","LZ_NORTH",21.87
"515","2016-01-02 12:00:00","LZ_NORTH",20.8
"529","2016-01-02 13:00:00","LZ_NORTH",19.68
"543","2016-01-02 14:00:00","LZ_NORTH",18.29
"557","2016-01-02 15:00:00","LZ_NORTH",17.96
"571","2016-01-02 16:00:00","LZ_NORTH",19.35
"585","2016-01-02 17:00:00","LZ_NORTH",23.54
"599","2016-01-02 18:00:00","LZ_NORTH",23.52
"613","2016-01-02 19:00:00","LZ_NORTH",21.76
"627","2016-01-02 20:00:00","LZ_NORTH",20.74
"641","2016-01-02 21:00:00","LZ_NORTH",19.98
"655","2016-01-02 22:00:00","LZ_NORTH",19.88
"669","2016-01-02 23:00:00","LZ_NORTH",18.43
"683","2016-01-03 00:00:00","LZ_NORTH",17.44
"697","2016-01-03 01:00:00","LZ_NORTH",16.46
"711","2016-01-03 02:00:00","LZ_NORTH",16.18
"725","2016-01-03 03:00:00","LZ_NORTH",16.36
"739","2016-01-03 04:00:00","LZ_NORTH",17.01
"753","2016-01-03 05:00:00","LZ_NORTH",17.7
"767","2016-01-03 06:00:00","LZ_NORTH",19.28
"781","2016-01-03 07:00:00","LZ_NORTH",20.04
"795","2016-01-03 08:00:00","LZ_NORTH",20.17
"809","2016-01-03 09:00:00","LZ_NORTH",20.22
"823","2016-01-03 10:00:00","LZ_NORTH",19.85
"837","2016-01-03 11:00:00","LZ_NORTH",18.66
"851","2016-01-03 12:00:00","LZ_NORTH",17.14
"865","2016-01-03 13:00:00","LZ_NORTH",16.33
"879","2016-01-03 14:00:00","LZ_NORTH",16.04
"893","2016-01-03 15:00:00","LZ_NORTH",15.96
"907","2016-01-03 16:00:00","LZ_NORTH",16.98
"921","2016-01-03 17:00:00","LZ_NORTH",21.27
"935","2016-01-03 18:00:00","LZ_NORTH",21.89
"949","2016-01-03 19:00:00","LZ_NORTH",20.89
"963","2016-01-03 20:00:00","LZ_NORTH",20.25
"977","2016-01-03 21:00:00","LZ_NORTH",19.69
"991","2016-01-03 22:00:00","LZ_NORTH",18.78
"1005","2016-01-03 23:00:00","LZ_NORTH",18.15
"1019","2016-01-04 00:00:00","LZ_NORTH",17.01
"1033","2016-01-04 01:00:00","LZ_NORTH",17.08
"1047","2016-01-04 02:00:00","LZ_NORTH",17.47
"1061","2016-01-04 03:00:00","LZ_NORTH",18
"1075","2016-01-04 04:00:00","LZ_NORTH",19.34
"1089","2016-01-04 05:00:00","LZ_NORTH",21.82
"1103","2016-01-04 06:00:00","LZ_NORTH",53.93
"1117","2016-01-04 07:00:00","LZ_NORTH",35.99
"1131","2016-01-04 08:00:00","LZ_NORTH",24.6
"1145","2016-01-04 09:00:00","LZ_NORTH",23.94
"1159","2016-01-04 10:00:00","LZ_NORTH",21.9
"1173","2016-01-04 11:00:00","LZ_NORTH",20.3
"1187","2016-01-04 12:00:00","LZ_NORTH",19.03
"1201","2016-01-04 13:00:00","LZ_NORTH",17.5
"1215","2016-01-04 14:00:00","LZ_NORTH",16.43
"1229","2016-01-04 15:00:00","LZ_NORTH",16.52
"1243","2016-01-04 16:00:00","LZ_NORTH",17.43
"1257","2016-01-04 17:00:00","LZ_NORTH",23.06
"1271","2016-01-04 18:00:00","LZ_NORTH",27.47
"1285","2016-01-04 19:00:00","LZ_NORTH",22.96
"1299","2016-01-04 20:00:00","LZ_NORTH",22.66
"1313","2016-01-04 21:00:00","LZ_NORTH",21.57
"1327","2016-01-04 22:00:00","LZ_NORTH",20.39
"1341","2016-01-04 23:00:00","LZ_NORTH",18.73
"1355","2016-01-05 00:00:00","LZ_NORTH",15.89
"1369","2016-01-05 01:00:00","LZ_NORTH",15.88
"1383","2016-01-05 02:00:00","LZ_NORTH",15.99
"1397","2016-01-05 03:00:00","LZ_NORTH",16.5
"1411","2016-01-05 04:00:00","LZ_NORTH",18
"1425","2016-01-05 05:00:00","LZ_NORTH",21.23
"1439","2016-01-05 06:00:00","LZ_NORTH",49.1
"1453","2016-01-05 07:00:00","LZ_NORTH",30.06
"1467","2016-01-05 08:00:00","LZ_NORTH",23.1
"1481","2016-01-05 09:00:00","LZ_NORTH",22.76
"1495","2016-01-05 10:00:00","LZ_NORTH",21.5
"1509","2016-01-05 11:00:00","LZ_NORTH",20.6
"1523","2016-01-05 12:00:00","LZ_NORTH",19.74
"1537","2016-01-05 13:00:00","LZ_NORTH",19.07
"1551","2016-01-05 14:00:00","LZ_NORTH",18.01
"1565","2016-01-05 15:00:00","LZ_NORTH",17.62
"1579","2016-01-05 16:00:00","LZ_NORTH",18.49
"1593","2016-01-05 17:00:00","LZ_NORTH",22.69
"1607","2016-01-05 18:00:00","LZ_NORTH",22.79
"1621","2016-01-05 19:00:00","LZ_NORTH",21.99
"1635","2016-01-05 20:00:00","LZ_NORTH",21.01
"1649","2016-01-05 21:00:00","LZ_NORTH",19.64
"1663","2016-01-05 22:00:00","LZ_NORTH",18.61
"1677","2016-01-05 23:00:00","LZ_NORTH",17.11
"1691","2016-01-06 00:00:00","LZ_NORTH",12.6
"1705","2016-01-06 01:00:00","LZ_NORTH",10.69
"1719","2016-01-06 02:00:00","LZ_NORTH",10.28
"1733","2016-01-06 03:00:00","LZ_NORTH",11.67
"1747","2016-01-06 04:00:00","LZ_NORTH",13.68
"1761","2016-01-06 05:00:00","LZ_NORTH",17.35
"1775","2016-01-06 06:00:00","LZ_NORTH",23.41
"1789","2016-01-06 07:00:00","LZ_NORTH",21.77
"1803","2016-01-06 08:00:00","LZ_NORTH",20.5
"1817","2016-01-06 09:00:00","LZ_NORTH",20.44
"1831","2016-01-06 10:00:00","LZ_NORTH",20.83
"1845","2016-01-06 11:00:00","LZ_NORTH",19.7
"1859","2016-01-06 12:00:00","LZ_NORTH",18.66
"1873","2016-01-06 13:00:00","LZ_NORTH",18.86
"1887","2016-01-06 14:00:00","LZ_NORTH",18.48
"1901","2016-01-06 15:00:00","LZ_NORTH",17.66
"1915","2016-01-06 16:00:00","LZ_NORTH",18.43
"1929","2016-01-06 17:00:00","LZ_NORTH",24.97
"1943","2016-01-06 18:00:00","LZ_NORTH",24.23
"1957","2016-01-06 19:00:00","LZ_NORTH",21.39
"1971","2016-01-06 20:00:00","LZ_NORTH",19.98
"1985","2016-01-06 21:00:00","LZ_NORTH",18.64
"1999","2016-01-06 22:00:00","LZ_NORTH",16.82
"2013","2016-01-06 23:00:00","LZ_NORTH",15.64
"2027","2016-01-07 00:00:00","LZ_NORTH",14.43
"2041","2016-01-07 01:00:00","LZ_NORTH",11.11
"2055","2016-01-07 02:00:00","LZ_NORTH",10.67
"2069","2016-01-07 03:00:00","LZ_NORTH",11
"2083","2016-01-07 04:00:00","LZ_NORTH",12.74
"2097","2016-01-07 05:00:00","LZ_NORTH",14.96
"2111","2016-01-07 06:00:00","LZ_NORTH",21.41
"2125","2016-01-07 07:00:00","LZ_NORTH",21.5
