"","Date","SettlementPoint","Price"
"12","2016-01-01 00:00:00","LZ_RAYBN",18.43
"26","2016-01-01 01:00:00","LZ_RAYBN",16.17
"40","2016-01-01 02:00:00","LZ_RAYBN",15.64
"54","2016-01-01 03:00:00","LZ_RAYBN",15.65
"68","2016-01-01 04:00:00","LZ_RAYBN",15.97
"82","2016-01-01 05:00:00","LZ_RAYBN",16.74
"96","2016-01-01 06:00:00","LZ_RAYBN",18.98
"110","2016-01-01 07:00:00","LZ_RAYBN",19.19
"124","2016-01-01 08:00:00","LZ_RAYBN",19.11
"138","2016-01-01 09:00:00","LZ_RAYBN",19.69
"152","2016-01-01 10:00:00","LZ_RAYBN",20.61
"166","2016-01-01 11:00:00","LZ_RAYBN",20.6
"180","2016-01-01 12:00:00","LZ_RAYBN",20.32
"194","2016-01-01 13:00:00","LZ_RAYBN",20.06
"208","2016-01-01 14:00:00","LZ_RAYBN",19.1
"222","2016-01-01 15:00:00","LZ_RAYBN",19.35
"236","2016-01-01 16:00:00","LZ_RAYBN",20.05
"250","2016-01-01 17:00:00","LZ_RAYBN",24.93
"264","2016-01-01 18:00:00","LZ_RAYBN",26.23
"278","2016-01-01 19:00:00","LZ_RAYBN",23.24
"292","2016-01-01 20:00:00","LZ_RAYBN",22.79
"306","2016-01-01 21:00:00","LZ_RAYBN",21.37
"320","2016-01-01 22:00:00","LZ_RAYBN",20.33
"334","2016-01-01 23:00:00","LZ_RAYBN",19.66
"348","2016-01-02 00:00:00","LZ_RAYBN",19
"362","2016-01-02 01:00:00","LZ_RAYBN",17.95
"376","2016-01-02 02:00:00","LZ_RAYBN",17.17
"390","2016-01-02 03:00:00","LZ_RAYBN",17.01
"404","2016-01-02 04:00:00","LZ_RAYBN",17.91
"418","2016-01-02 05:00:00","LZ_RAYBN",17.66
"432","2016-01-02 06:00:00","LZ_RAYBN",20.1
"446","2016-01-02 07:00:00","LZ_RAYBN",21.33
"460","2016-01-02 08:00:00","LZ_RAYBN",23.43
"474","2016-01-02 09:00:00","LZ_RAYBN",24.91
