"","Date","SettlementPoint","Price"
"13","2016-01-01 00:00:00","LZ_SOUTH",18.22
"27","2016-01-01 01:00:00","LZ_SOUTH",15.91
"41","2016-01-01 02:00:00","LZ_SOUTH",15.25
"55","2016-01-01 03:00:00","LZ_SOUTH",15.23
"69","2016-01-01 04:00:00","LZ_SOUTH",15.58
"83","2016-01-01 05:00:00","LZ_SOUTH",16.09
"97","2016-01-01 06:00:00","LZ_SOUTH",18.87
"111","2016-01-01 07:00:00","LZ_SOUTH",19.19
"125","2016-01-01 08:00:00","LZ_SOUTH",19.08
"139","2016-01-01 09:00:00","LZ_SOUTH",19.62
"153","2016-01-01 10:00:00","LZ_SOUTH",20.7
"167","2016-01-01 11:00:00","LZ_SOUTH",21.2
"181","2016-01-01 12:00:00","LZ_SOUTH",21.03
"195","2016-01-01 13:00:00","LZ_SOUTH",21.14
"209","2016-01-01 14:00:00","LZ_SOUTH",20.62
"223","2016-01-01 15:00:00","LZ_SOUTH",20.72
"237","2016-01-01 16:00:00","LZ_SOUTH",21.47
"251","2016-01-01 17:00:00","LZ_SOUTH",26.31
"265","2016-01-01 18:00:00","LZ_SOUTH",26.07
"279","2016-01-01 19:00:00","LZ_SOUTH",23.1
"293","2016-01-01 20:00:00","LZ_SOUTH",22.72
"307","2016-01-01 21:00:00","LZ_SOUTH",21.36
"321","2016-01-01 22:00:00","LZ_SOUTH",20.09
"335","2016-01-01 23:00:00","LZ_SOUTH",19.44
"349","2016-01-02 00:00:00","LZ_SOUTH",18.89
"363","2016-01-02 01:00:00","LZ_SOUTH",17.93
"377","2016-01-02 02:00:00","LZ_SOUTH",17.03
"391","2016-01-02 03:00:00","LZ_SOUTH",16.87
"405","2016-01-02 04:00:00","LZ_SOUTH",17.82
"419","2016-01-02 05:00:00","LZ_SOUTH",17.54
"433","2016-01-02 06:00:00","LZ_SOUTH",20.11
"447","2016-01-02 07:00:00","LZ_SOUTH",21.24
"461","2016-01-02 08:00:00","LZ_SOUTH",23.13
"475","2016-01-02 09:00:00","LZ_SOUTH",24.47
"489","2016-01-02 10:00:00","LZ_SOUTH",23.1
"503","2016-01-02 11:00:00","LZ_SOUTH",21.73
"517","2016-01-02 12:00:00","LZ_SOUTH",20.72
"531","2016-01-02 13:00:00","LZ_SOUTH",19.73
"545","2016-01-02 14:00:00","LZ_SOUTH",18.28
"559","2016-01-02 15:00:00","LZ_SOUTH",17.91
"573","2016-01-02 16:00:00","LZ_SOUTH",19.38
"587","2016-01-02 17:00:00","LZ_SOUTH",23.24
"601","2016-01-02 18:00:00","LZ_SOUTH",23.37
"615","2016-01-02 19:00:00","LZ_SOUTH",21.67
"629","2016-01-02 20:00:00","LZ_SOUTH",20.75
"643","2016-01-02 21:00:00","LZ_SOUTH",20
"657","2016-01-02 22:00:00","LZ_SOUTH",19.89
"671","2016-01-02 23:00:00","LZ_SOUTH",18.35
"685","2016-01-03 00:00:00","LZ_SOUTH",17.47
"699","2016-01-03 01:00:00","LZ_SOUTH",16.47
"713","2016-01-03 02:00:00","LZ_SOUTH",16.21
"727","2016-01-03 03:00:00","LZ_SOUTH",16.38
"741","2016-01-03 04:00:00","LZ_SOUTH",17.03
"755","2016-01-03 05:00:00","LZ_SOUTH",17.72
"769","2016-01-03 06:00:00","LZ_SOUTH",19.3
"783","2016-01-03 07:00:00","LZ_SOUTH",20.06
"797","2016-01-03 08:00:00","LZ_SOUTH",20.2
"811","2016-01-03 09:00:00","LZ_SOUTH",20.24
"825","2016-01-03 10:00:00","LZ_SOUTH",19.89
"839","2016-01-03 11:00:00","LZ_SOUTH",18.7
"853","2016-01-03 12:00:00","LZ_SOUTH",17.17
"867","2016-01-03 13:00:00","LZ_SOUTH",16.36
"881","2016-01-03 14:00:00","LZ_SOUTH",16.06
"895","2016-01-03 15:00:00","LZ_SOUTH",15.99
"909","2016-01-03 16:00:00","LZ_SOUTH",17.01
"923","2016-01-03 17:00:00","LZ_SOUTH",21.22
"937","2016-01-03 18:00:00","LZ_SOUTH",21.84
"951","2016-01-03 19:00:00","LZ_SOUTH",20.94
"965","2016-01-03 20:00:00","LZ_SOUTH",20.36
"979","2016-01-03 21:00:00","LZ_SOUTH",19.85
"993","2016-01-03 22:00:00","LZ_SOUTH",18.83
"1007","2016-01-03 23:00:00","LZ_SOUTH",18.18
"1021","2016-01-04 00:00:00","LZ_SOUTH",17.05
"1035","2016-01-04 01:00:00","LZ_SOUTH",17.09
"1049","2016-01-04 02:00:00","LZ_SOUTH",17.48
"1063","2016-01-04 03:00:00","LZ_SOUTH",18.02
"1077","2016-01-04 04:00:00","LZ_SOUTH",19.35
"1091","2016-01-04 05:00:00","LZ_SOUTH",21.63
"1105","2016-01-04 06:00:00","LZ_SOUTH",52.87
"1119","2016-01-04 07:00:00","LZ_SOUTH",35.31
"1133","2016-01-04 08:00:00","LZ_SOUTH",26.57
"1147","2016-01-04 09:00:00","LZ_SOUTH",26.51
"1161","2016-01-04 10:00:00","LZ_SOUTH",22.91
"1175","2016-01-04 11:00:00","LZ_SOUTH",21.44
"1189","2016-01-04 12:00:00","LZ_SOUTH",20.02
"1203","2016-01-04 13:00:00","LZ_SOUTH",18.42
"1217","2016-01-04 14:00:00","LZ_SOUTH",17.48
"1231","2016-01-04 15:00:00","LZ_SOUTH",17.4
"1245","2016-01-04 16:00:00","LZ_SOUTH",18.46
"1259","2016-01-04 17:00:00","LZ_SOUTH",24.14
"1273","2016-01-04 18:00:00","LZ_SOUTH",28.82
"1287","2016-01-04 19:00:00","LZ_SOUTH",23.79
"1301","2016-01-04 20:00:00","LZ_SOUTH",23.6
"1315","2016-01-04 21:00:00","LZ_SOUTH",22.37
"1329","2016-01-04 22:00:00","LZ_SOUTH",20.96
"1343","2016-01-04 23:00:00","LZ_SOUTH",19.17
"1357","2016-01-05 00:00:00","LZ_SOUTH",16.02
"1371","2016-01-05 01:00:00","LZ_SOUTH",15.97
"1385","2016-01-05 02:00:00","LZ_SOUTH",16.07
"1399","2016-01-05 03:00:00","LZ_SOUTH",16.56
"1413","2016-01-05 04:00:00","LZ_SOUTH",18.05
"1427","2016-01-05 05:00:00","LZ_SOUTH",21.29
"1441","2016-01-05 06:00:00","LZ_SOUTH",48.87
"1455","2016-01-05 07:00:00","LZ_SOUTH",30.14
"1469","2016-01-05 08:00:00","LZ_SOUTH",23.6
"1483","2016-01-05 09:00:00","LZ_SOUTH",23.25
"1497","2016-01-05 10:00:00","LZ_SOUTH",22
"1511","2016-01-05 11:00:00","LZ_SOUTH",21.23
"1525","2016-01-05 12:00:00","LZ_SOUTH",20.31
"1539","2016-01-05 13:00:00","LZ_SOUTH",19.48
"1553","2016-01-05 14:00:00","LZ_SOUTH",18.45
"1567","2016-01-05 15:00:00","LZ_SOUTH",18.05
"1581","2016-01-05 16:00:00","LZ_SOUTH",18.97
"1595","2016-01-05 17:00:00","LZ_SOUTH",23.08
"1609","2016-01-05 18:00:00","LZ_SOUTH",23.27
"1623","2016-01-05 19:00:00","LZ_SOUTH",22.58
"1637","2016-01-05 20:00:00","LZ_SOUTH",21.64
"1651","2016-01-05 21:00:00","LZ_SOUTH",20.11
"1665","2016-01-05 22:00:00","LZ_SOUTH",18.78
"1679","2016-01-05 23:00:00","LZ_SOUTH",17.2
"1693","2016-01-06 00:00:00","LZ_SOUTH",12.64
"1707","2016-01-06 01:00:00","LZ_SOUTH",10.73
"1721","2016-01-06 02:00:00","LZ_SOUTH",10.31
"1735","2016-01-06 03:00:00","LZ_SOUTH",11.71
"1749","2016-01-06 04:00:00","LZ_SOUTH",13.71
"1763","2016-01-06 05:00:00","LZ_SOUTH",17.29
"1777","2016-01-06 06:00:00","LZ_SOUTH",23.72
"1791","2016-01-06 07:00:00","LZ_SOUTH",22.1
"1805","2016-01-06 08:00:00","LZ_SOUTH",20.85
"1819","2016-01-06 09:00:00","LZ_SOUTH",20.7
"1833","2016-01-06 10:00:00","LZ_SOUTH",21.14
"1847","2016-01-06 11:00:00","LZ_SOUTH",20.05
"1861","2016-01-06 12:00:00","LZ_SOUTH",19.01
"1875","2016-01-06 13:00:00","LZ_SOUTH",19.22
"1889","2016-01-06 14:00:00","LZ_SOUTH",18.86
"1903","2016-01-06 15:00:00","LZ_SOUTH",18.05
"1917","2016-01-06 16:00:00","LZ_SOUTH",18.82
"1931","2016-01-06 17:00:00","LZ_SOUTH",25.3
"1945","2016-01-06 18:00:00","LZ_SOUTH",24.98
"1959","2016-01-06 19:00:00","LZ_SOUTH",21.76
"1973","2016-01-06 20:00:00","LZ_SOUTH",20.35
"1987","2016-01-06 21:00:00","LZ_SOUTH",18.93
"2001","2016-01-06 22:00:00","LZ_SOUTH",16.97
"2015","2016-01-06 23:00:00","LZ_SOUTH",15.72
"2029","2016-01-07 00:00:00","LZ_SOUTH",14.45
"2043","2016-01-07 01:00:00","LZ_SOUTH",11.15
"2057","2016-01-07 02:00:00","LZ_SOUTH",10.69
"2071","2016-01-07 03:00:00","LZ_SOUTH",11.02
"2085","2016-01-07 04:00:00","LZ_SOUTH",12.76
"2099","2016-01-07 05:00:00","LZ_SOUTH",15
"2113","2016-01-07 06:00:00","LZ_SOUTH",21.64
"2127","2016-01-07 07:00:00","LZ_SOUTH",21.79
"2141","2016-01-07 08:00:00","LZ_SOUTH",20.21
"2155","2016-01-07 09:00:00","LZ_SOUTH",19.92
"2169","2016-01-07 10:00:00","LZ_SOUTH",20.23
"2183","2016-01-07 11:00:00","LZ_SOUTH",17.18
"2197","2016-01-07 12:00:00","LZ_SOUTH",16.96
"2211","2016-01-07 13:00:00","LZ_SOUTH",16.71
"2225","2016-01-07 14:00:00","LZ_SOUTH",16.55
"2239","2016-01-07 15:00:00","LZ_SOUTH",16.44
"2253","2016-01-07 16:00:00","LZ_SOUTH",16.97
"2267","2016-01-07 17:00:00","LZ_SOUTH",23.64
"2281","2016-01-07 18:00:00","LZ_SOUTH",23.18
"2295","2016-01-07 19:00:00","LZ_SOUTH",21.32
"2309","2016-01-07 20:00:00","LZ_SOUTH",20.38
"2323","2016-01-07 21:00:00","LZ_SOUTH",18.41
"2337","2016-01-07 22:00:00","LZ_SOUTH",15.99
"2351","2016-01-07 23:00:00","LZ_SOUTH",14.92
"2365","2016-01-08 00:00:00","LZ_SOUTH",15.43
"2379","2016-01-08 01:00:00","LZ_SOUTH",14.03
"2393","2016-01-08 02:00:00","LZ_SOUTH",14.02
"2407","2016-01-08 03:00:00","LZ_SOUTH",14.03
"2421","2016-01-08 04:00:00","LZ_SOUTH",15.07
"2435","2016-01-08 05:00:00","LZ_SOUTH",17.5
"2449","2016-01-08 06:00:00","LZ_SOUTH",23
"2463","2016-01-08 07:00:00","LZ_SOUTH",22.59
"2477","2016-01-08 08:00:00","LZ_SOUTH",21.51
"2491","2016-01-08 09:00:00","LZ_SOUTH",21.48
"2505","2016-01-08 10:00:00","LZ_SOUTH",20.8
"2519","2016-01-08 11:00:00","LZ_SOUTH",18.94
"2533","2016-01-08 12:00:00","LZ_SOUTH",17.62
"2547","2016-01-08 13:00:00","LZ_SOUTH",17.52
"2561","2016-01-08 14:00:00","LZ_SOUTH",17.21
"2575","2016-01-08 15:00:00","LZ_SOUTH",16.95
"2589","2016-01-08 16:00:00","LZ_SOUTH",17.99
"2603","2016-01-08 17:00:00","LZ_SOUTH",23.92
"2617","2016-01-08 18:00:00","LZ_SOUTH",22.17
"2631","2016-01-08 19:00:00","LZ_SOUTH",20.28
"2645","2016-01-08 20:00:00","LZ_SOUTH",19.68
"2659","2016-01-08 21:00:00","LZ_SOUTH",17.97
