"","Date","SettlementPoint","Price"
"14","2016-01-01 00:00:00","LZ_WEST",18.44
"28","2016-01-01 01:00:00","LZ_WEST",16.17
"42","2016-01-01 02:00:00","LZ_WEST",15.65
"56","2016-01-01 03:00:00","LZ_WEST",15.66
"70","2016-01-01 04:00:00","LZ_WEST",15.98
"84","2016-01-01 05:00:00","LZ_WEST",16.76
"98","2016-01-01 06:00:00","LZ_WEST",18.99
"112","2016-01-01 07:00:00","LZ_WEST",19.2
"126","2016-01-01 08:00:00","LZ_WEST",19.11
"140","2016-01-01 09:00:00","LZ_WEST",19.71
"154","2016-01-01 10:00:00","LZ_WEST",20.64
"168","2016-01-01 11:00:00","LZ_WEST",20.66
"182","2016-01-01 12:00:00","LZ_WEST",20.33
"196","2016-01-01 13:00:00","LZ_WEST",20.1
"210","2016-01-01 14:00:00","LZ_WEST",19.15
"224","2016-01-01 15:00:00","LZ_WEST",19.39
"238","2016-01-01 16:00:00","LZ_WEST",20.15
"252","2016-01-01 17:00:00","LZ_WEST",25.23
"266","2016-01-01 18:00:00","LZ_WEST",26.52
"280","2016-01-01 19:00:00","LZ_WEST",23.41
"294","2016-01-01 20:00:00","LZ_WEST",22.89
"308","2016-01-01 21:00:00","LZ_WEST",21.43
"322","2016-01-01 22:00:00","LZ_WEST",20.34
"336","2016-01-01 23:00:00","LZ_WEST",19.68
"350","2016-01-02 00:00:00","LZ_WEST",19.01
"364","2016-01-02 01:00:00","LZ_WEST",17.96
"378","2016-01-02 02:00:00","LZ_WEST",17.18
"392","2016-01-02 03:00:00","LZ_WEST",17.02
"406","2016-01-02 04:00:00","LZ_WEST",17.92
"420","2016-01-02 05:00:00","LZ_WEST",17.66
"434","2016-01-02 06:00:00","LZ_WEST",20.13
"448","2016-01-02 07:00:00","LZ_WEST",21.39
"462","2016-01-02 08:00:00","LZ_WEST",23.56
"476","2016-01-02 09:00:00","LZ_WEST",25.05
"490","2016-01-02 10:00:00","LZ_WEST",23.55
"504","2016-01-02 11:00:00","LZ_WEST",21.89
"518","2016-01-02 12:00:00","LZ_WEST",20.86
"532","2016-01-02 13:00:00","LZ_WEST",19.7
"546","2016-01-02 14:00:00","LZ_WEST",18.31
"560","2016-01-02 15:00:00","LZ_WEST",17.96
"574","2016-01-02 16:00:00","LZ_WEST",19.38
"588","2016-01-02 17:00:00","LZ_WEST",23.61
"602","2016-01-02 18:00:00","LZ_WEST",23.66
"616","2016-01-02 19:00:00","LZ_WEST",21.82
"630","2016-01-02 20:00:00","LZ_WEST",20.76
"644","2016-01-02 21:00:00","LZ_WEST",19.99
"658","2016-01-02 22:00:00","LZ_WEST",19.88
"672","2016-01-02 23:00:00","LZ_WEST",18.44
"686","2016-01-03 00:00:00","LZ_WEST",17.5
"700","2016-01-03 01:00:00","LZ_WEST",16.51
"714","2016-01-03 02:00:00","LZ_WEST",16.24
"728","2016-01-03 03:00:00","LZ_WEST",16.39
"742","2016-01-03 04:00:00","LZ_WEST",17.06
"756","2016-01-03 05:00:00","LZ_WEST",17.76
"770","2016-01-03 06:00:00","LZ_WEST",19.33
"784","2016-01-03 07:00:00","LZ_WEST",20.13
"798","2016-01-03 08:00:00","LZ_WEST",20.27
"812","2016-01-03 09:00:00","LZ_WEST",20.31
"826","2016-01-03 10:00:00","LZ_WEST",19.95
"840","2016-01-03 11:00:00","LZ_WEST",18.74
"854","2016-01-03 12:00:00","LZ_WEST",17.22
"868","2016-01-03 13:00:00","LZ_WEST",16.4
"882","2016-01-03 14:00:00","LZ_WEST",16.11
"896","2016-01-03 15:00:00","LZ_WEST",16.04
"910","2016-01-03 16:00:00","LZ_WEST",17.05
"924","2016-01-03 17:00:00","LZ_WEST",21.37
"938","2016-01-03 18:00:00","LZ_WEST",21.97
"952","2016-01-03 19:00:00","LZ_WEST",20.97
"966","2016-01-03 20:00:00","LZ_WEST",20.33
"980","2016-01-03 21:00:00","LZ_WEST",19.75
"994","2016-01-03 22:00:00","LZ_WEST",18.84
"1008","2016-01-03 23:00:00","LZ_WEST",18.2
"1022","2016-01-04 00:00:00","LZ_WEST",17.01
"1036","2016-01-04 01:00:00","LZ_WEST",17.08
"1050","2016-01-04 02:00:00","LZ_WEST",17.47
"1064","2016-01-04 03:00:00","LZ_WEST",18
"1078","2016-01-04 04:00:00","LZ_WEST",19.34
"1092","2016-01-04 05:00:00","LZ_WEST",21.84
"1106","2016-01-04 06:00:00","LZ_WEST",54.55
"1120","2016-01-04 07:00:00","LZ_WEST",38.01
"1134","2016-01-04 08:00:00","LZ_WEST",26.32
"1148","2016-01-04 09:00:00","LZ_WEST",25.39
"1162","2016-01-04 10:00:00","LZ_WEST",24.02
"1176","2016-01-04 11:00:00","LZ_WEST",21.81
"1190","2016-01-04 12:00:00","LZ_WEST",20.12
"1204","2016-01-04 13:00:00","LZ_WEST",18.53
"1218","2016-01-04 14:00:00","LZ_WEST",17.32
"1232","2016-01-04 15:00:00","LZ_WEST",17.42
"1246","2016-01-04 16:00:00","LZ_WEST",18.56
"1260","2016-01-04 17:00:00","LZ_WEST",24.58
"1274","2016-01-04 18:00:00","LZ_WEST",29.11
"1288","2016-01-04 19:00:00","LZ_WEST",24.21
"1302","2016-01-04 20:00:00","LZ_WEST",23.34
"1316","2016-01-04 21:00:00","LZ_WEST",21.99
"1330","2016-01-04 22:00:00","LZ_WEST",20.58
"1344","2016-01-04 23:00:00","LZ_WEST",18.87
"1358","2016-01-05 00:00:00","LZ_WEST",16.08
"1372","2016-01-05 01:00:00","LZ_WEST",16.07
"1386","2016-01-05 02:00:00","LZ_WEST",16.19
"1400","2016-01-05 03:00:00","LZ_WEST",16.69
"1414","2016-01-05 04:00:00","LZ_WEST",18.13
"1428","2016-01-05 05:00:00","LZ_WEST",21.63
"1442","2016-01-05 06:00:00","LZ_WEST",50.35
"1456","2016-01-05 07:00:00","LZ_WEST",31.96
"1470","2016-01-05 08:00:00","LZ_WEST",25.05
"1484","2016-01-05 09:00:00","LZ_WEST",24.35
"1498","2016-01-05 10:00:00","LZ_WEST",22.21
"1512","2016-01-05 11:00:00","LZ_WEST",21.09
"1526","2016-01-05 12:00:00","LZ_WEST",20.18
"1540","2016-01-05 13:00:00","LZ_WEST",19.53
"1554","2016-01-05 14:00:00","LZ_WEST",18.5
"1568","2016-01-05 15:00:00","LZ_WEST",18.15
"1582","2016-01-05 16:00:00","LZ_WEST",19.01
"1596","2016-01-05 17:00:00","LZ_WEST",23.34
"1610","2016-01-05 18:00:00","LZ_WEST",23.3
"1624","2016-01-05 19:00:00","LZ_WEST",22
"1638","2016-01-05 20:00:00","LZ_WEST",21.02
"1652","2016-01-05 21:00:00","LZ_WEST",19.66
"1666","2016-01-05 22:00:00","LZ_WEST",18.61
"1680","2016-01-05 23:00:00","LZ_WEST",17.12
"1694","2016-01-06 00:00:00","LZ_WEST",12.58
"1708","2016-01-06 01:00:00","LZ_WEST",10.67
"1722","2016-01-06 02:00:00","LZ_WEST",10.26
"1736","2016-01-06 03:00:00","LZ_WEST",11.66
"1750","2016-01-06 04:00:00","LZ_WEST",13.67
"1764","2016-01-06 05:00:00","LZ_WEST",17.34
"1778","2016-01-06 06:00:00","LZ_WEST",23.4
"1792","2016-01-06 07:00:00","LZ_WEST",21.77
"1806","2016-01-06 08:00:00","LZ_WEST",20.49
"1820","2016-01-06 09:00:00","LZ_WEST",20.43
"1834","2016-01-06 10:00:00","LZ_WEST",20.83
"1848","2016-01-06 11:00:00","LZ_WEST",19.69
"1862","2016-01-06 12:00:00","LZ_WEST",18.7
"1876","2016-01-06 13:00:00","LZ_WEST",18.91
"1890","2016-01-06 14:00:00","LZ_WEST",18.54
"1904","2016-01-06 15:00:00","LZ_WEST",17.73
"1918","2016-01-06 16:00:00","LZ_WEST",18.5
"1932","2016-01-06 17:00:00","LZ_WEST",25.14
"1946","2016-01-06 18:00:00","LZ_WEST",24.48
"1960","2016-01-06 19:00:00","LZ_WEST",21.53
"1974","2016-01-06 20:00:00","LZ_WEST",20.01
"1988","2016-01-06 21:00:00","LZ_WEST",18.64
"2002","2016-01-06 22:00:00","LZ_WEST",16.85
"2016","2016-01-06 23:00:00","LZ_WEST",15.64
"2030","2016-01-07 00:00:00","LZ_WEST",14.41
"2044","2016-01-07 01:00:00","LZ_WEST",11.09
"2058","2016-01-07 02:00:00","LZ_WEST",10.65
"2072","2016-01-07 03:00:00","LZ_WEST",10.97
"2086","2016-01-07 04:00:00","LZ_WEST",12.7
"2100","2016-01-07 05:00:00","LZ_WEST",14.9
"2114","2016-01-07 06:00:00","LZ_WEST",21.35
"2128","2016-01-07 07:00:00","LZ_WEST",21.44
"2142","2016-01-07 08:00:00","LZ_WEST",19.87
"2156","2016-01-07 09:00:00","LZ_WEST",19.59
"2170","2016-01-07 10:00:00","LZ_WEST",19.73
"2184","2016-01-07 11:00:00","LZ_WEST",16.7
"2198","2016-01-07 12:00:00","LZ_WEST",16.48
"2212","2016-01-07 13:00:00","LZ_WEST",16.21
"2226","2016-01-07 14:00:00","LZ_WEST",15.57
"2240","2016-01-07 15:00:00","LZ_WEST",15.61
"2254","2016-01-07 16:00:00","LZ_WEST",16.15
"2268","2016-01-07 17:00:00","LZ_WEST",22.9
"2282","2016-01-07 18:00:00","LZ_WEST",22.14
"2296","2016-01-07 19:00:00","LZ_WEST",20.75
"2310","2016-01-07 20:00:00","LZ_WEST",19.62
"2324","2016-01-07 21:00:00","LZ_WEST",17.85
"2338","2016-01-07 22:00:00","LZ_WEST",15.73
"2352","2016-01-07 23:00:00","LZ_WEST",14.73
"2366","2016-01-08 00:00:00","LZ_WEST",15.46
"2380","2016-01-08 01:00:00","LZ_WEST",14.04
"2394","2016-01-08 02:00:00","LZ_WEST",14.04
"2408","2016-01-08 03:00:00","LZ_WEST",14.04
"2422","2016-01-08 04:00:00","LZ_WEST",15.11
"2436","2016-01-08 05:00:00","LZ_WEST",17.54
"2450","2016-01-08 06:00:00","LZ_WEST",22.81
"2464","2016-01-08 07:00:00","LZ_WEST",22.39
"2478","2016-01-08 08:00:00","LZ_WEST",21.42
"2492","2016-01-08 09:00:00","LZ_WEST",21.31
"2506","2016-01-08 10:00:00","LZ_WEST",20.63
"2520","2016-01-08 11:00:00","LZ_WEST",18.69
"2534","2016-01-08 12:00:00","LZ_WEST",17.38
"2548","2016-01-08 13:00:00","LZ_WEST",17.24
"2562","2016-01-08 14:00:00","LZ_WEST",16.57
"2576","2016-01-08 15:00:00","LZ_WEST",16.53
"2590","2016-01-08 16:00:00","LZ_WEST",17.6
"2604","2016-01-08 17:00:00","LZ_WEST",23.49
"2618","2016-01-08 18:00:00","LZ_WEST",22
"2632","2016-01-08 19:00:00","LZ_WEST",20.26
"2646","2016-01-08 20:00:00","LZ_WEST",19.66
"2660","2016-01-08 21:00:00","LZ_WEST",17.95
"2674","2016-01-08 22:00:00","LZ_WEST",17.49
